timestamp,user_id,event_type,product_id,product_name,product_price,amount,session_id
2025-12-25 20:50:22,e5990560-193a-400f-8278-20be40e0ad97,add_to_cart,PROD002,Mouse,29.99,0.0,SESSIONe5990560-193a-400f-8278-20be40e0ad975913
2025-12-25 20:50:22,f292f940-5a44-4e39-9cde-f8f2d716f888,product_view,PROD005,Headphones,149.99,0.0,SESSIONf292f940-5a44-4e39-9cde-f8f2d716f8886123
2025-12-25 20:50:22,e7f449c2-e466-4d4d-8c3d-7b6b948f77f7,product_view,PROD002,Mouse,29.99,0.0,SESSIONe7f449c2-e466-4d4d-8c3d-7b6b948f77f78879
2025-12-25 20:50:22,184561a7-b227-4a39-b9e0-685a7c60e89f,remove_from_cart,PROD003,Keyboard,79.99,0.0,SESSION184561a7-b227-4a39-b9e0-685a7c60e89f9305
2025-12-25 20:50:22,3750c89b-6b80-4d65-a94a-0e35885a004d,product_view,PROD001,Laptop,999.99,0.0,SESSION3750c89b-6b80-4d65-a94a-0e35885a004d7625
2025-12-25 20:50:22,897370b2-a0c8-418d-ba6e-4b33d481b578,add_to_cart,PROD008,Phone,699.99,0.0,SESSION897370b2-a0c8-418d-ba6e-4b33d481b5783805
2025-12-25 20:50:22,3750c89b-6b80-4d65-a94a-0e35885a004d,purchase,PROD004,Monitor,299.99,299.99,SESSION3750c89b-6b80-4d65-a94a-0e35885a004d3084
2025-12-25 20:50:22,a6832f97-9270-4f57-b4b8-fb7d53042de5,add_to_cart,PROD005,Headphones,149.99,0.0,SESSIONa6832f97-9270-4f57-b4b8-fb7d53042de54998
2025-12-25 20:50:22,e6be3d12-6021-445f-be96-8741b3cef8de,add_to_cart,PROD002,Mouse,29.99,0.0,SESSIONe6be3d12-6021-445f-be96-8741b3cef8de9910
2025-12-25 20:50:22,eb74e710-f288-455d-9365-2c336a457056,add_to_cart,PROD009,Tablet,449.99,0.0,SESSIONeb74e710-f288-455d-9365-2c336a4570561957
2025-12-25 20:50:22,3af62cf8-36ed-44e4-8c64-ba4ff4c7a54f,product_view,PROD007,USB Cable,12.99,0.0,SESSION3af62cf8-36ed-44e4-8c64-ba4ff4c7a54f7269
2025-12-25 20:50:22,460b3b08-f5cf-4682-8a20-9a3e48b2708c,product_view,PROD010,Smartwatch,249.99,0.0,SESSION460b3b08-f5cf-4682-8a20-9a3e48b2708c9146
2025-12-25 20:50:22,909b4216-782d-4c7d-b964-ddb7a368593b,product_view,PROD004,Monitor,299.99,0.0,SESSION909b4216-782d-4c7d-b964-ddb7a368593b4148
2025-12-25 20:50:22,5b9561eb-671b-424c-bd9f-3580404c4e21,remove_from_cart,PROD003,Keyboard,79.99,0.0,SESSION5b9561eb-671b-424c-bd9f-3580404c4e219509
2025-12-25 20:50:22,f784f523-03b1-4a60-a875-d140245ae94a,product_view,PROD009,Tablet,449.99,0.0,SESSIONf784f523-03b1-4a60-a875-d140245ae94a2635
2025-12-25 20:50:22,d05d2065-a999-4625-9677-ec5800a817b5,add_to_cart,PROD008,Phone,699.99,0.0,SESSIONd05d2065-a999-4625-9677-ec5800a817b51224
2025-12-25 20:50:22,5b9561eb-671b-424c-bd9f-3580404c4e21,add_to_cart,PROD003,Keyboard,79.99,0.0,SESSION5b9561eb-671b-424c-bd9f-3580404c4e219347
2025-12-25 20:50:22,c0611689-eb41-48d6-9fcb-ca0656ff9313,product_view,PROD001,Laptop,999.99,0.0,SESSIONc0611689-eb41-48d6-9fcb-ca0656ff93135272
